model,stem,device,target_scale,cv_mae,cv_rmse,cv_poisson_deviance,val_mae,val_rmse,val_poisson_deviance,test_mae,test_rmse,test_poisson_deviance,bias_mean,bias_median,underprediction_rate,overprediction_rate,top25_actual_threshold,top25_bias_mean,top25_underprediction_rate,underpredicting,sum_actual,sum_predicted,total_count_ratio,train_metrics_path,test_metrics_path,comparison_metrics_path,predictions_path,residuals_path,winner
lgbm_poisson,ward3_lgbm_poisson_20091231_20251231_20260513_8a426656,cpu,raw_counts,3.625049575107866,6.9061911519997965,15.06769235615096,1.3552172568129182,1.8815978629939591,1.2134578224711983,0.8870083957424433,1.2931676675899813,1.3938646448105507,0.35474905434170767,0.20686055021352445,0.6206896551724138,0.3793103448275862,2.0,1.8629480391167745,1.0,True,75.0,54.424554848180954,0.7256607313090794,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_poisson_20091231_20251231_20260513_8a426656/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_poisson_20091231_20251231_20260513_8a426656/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_lgbm_poisson_20091231_20251231_20260513_8a426656/comparison_metrics.json,results/ward3_lgbm_poisson_20091231_20251231_20260513_8a426656/test_predictions.csv,results/ward3_lgbm_poisson_20091231_20251231_20260513_8a426656/residuals.png,True
catboost_poisson,ward3_catboost_poisson_20091231_20251231_20260513_5448ec08,cpu,raw_counts,3.604880661160613,6.807759098234245,14.303554877023753,1.5131251521155047,2.095628117035046,1.4765135808481218,0.8975112239130838,1.294464119177086,1.3758060655915296,0.3409310337906562,0.10805823885447774,0.5689655172413793,0.43103448275862066,2.0,1.895472164853059,1.0,True,75.0,55.22600004014194,0.7363466672018926,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_20091231_20251231_20260513_5448ec08/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_20091231_20251231_20260513_5448ec08/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_catboost_poisson_20091231_20251231_20260513_5448ec08/comparison_metrics.json,results/ward3_catboost_poisson_20091231_20251231_20260513_5448ec08/test_predictions.csv,results/ward3_catboost_poisson_20091231_20251231_20260513_5448ec08/residuals.png,False
xgb,ward3_xgb_20091231_20251231_20260513_00366661,cuda,raw_counts,3.5705507925915017,6.7033338071897175,13.84349491107022,1.260665548567114,1.7572700602272762,1.072466326330192,0.9334555042201075,1.3177871272709476,1.4293732176989176,0.1875078349277891,-0.104775071144104,0.46551724137931033,0.5344827586206896,2.0,1.771335103932549,1.0,True,75.0,64.12454557418823,0.8549939409891765,/data/rpan/course/spring-2026-dc-311/results/ward3_xgb_20091231_20251231_20260513_00366661/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_xgb_20091231_20251231_20260513_00366661/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_xgb_20091231_20251231_20260513_00366661/comparison_metrics.json,results/ward3_xgb_20091231_20251231_20260513_00366661/test_predictions.csv,results/ward3_xgb_20091231_20251231_20260513_00366661/residuals.png,False
extra_trees,ward3_extra_trees_20091231_20251231_20260513_18b53288,cpu,raw_counts,3.4727376772962444,6.50111338264666,10.079231424425831,1.5238557838876043,2.132097199876028,1.4638925415415205,0.9434644263508583,1.2706560231289818,1.348711006129259,-0.04183032384552661,-0.30364419795949515,0.3620689655172414,0.6379310344827587,2.0,1.4878955602164994,1.0,False,75.0,77.42615878304055,1.032348783773874,/data/rpan/course/spring-2026-dc-311/results/ward3_extra_trees_20091231_20251231_20260513_18b53288/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_extra_trees_20091231_20251231_20260513_18b53288/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_extra_trees_20091231_20251231_20260513_18b53288/comparison_metrics.json,results/ward3_extra_trees_20091231_20251231_20260513_18b53288/test_predictions.csv,results/ward3_extra_trees_20091231_20251231_20260513_18b53288/residuals.png,False
histgb_poisson,ward3_histgb_poisson_20091231_20251231_20260513_a3b61905,cpu,raw_counts,3.699216104468922,7.076516388591156,13.689067532891926,1.4741801348221482,2.0705045012547796,1.4020665582605387,0.9601533506842268,1.3515473830562603,1.593910898289867,0.42706787621488285,0.3187935538952726,0.603448275862069,0.39655172413793105,2.0,1.9968718401284449,1.0,True,75.0,50.230063179536785,0.6697341757271571,/data/rpan/course/spring-2026-dc-311/results/ward3_histgb_poisson_20091231_20251231_20260513_a3b61905/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_histgb_poisson_20091231_20251231_20260513_a3b61905/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_histgb_poisson_20091231_20251231_20260513_a3b61905/comparison_metrics.json,results/ward3_histgb_poisson_20091231_20251231_20260513_a3b61905/test_predictions.csv,results/ward3_histgb_poisson_20091231_20251231_20260513_a3b61905/residuals.png,False
naive_rolling_mean,ward3_naive_rolling_mean_20091231_20251231_20260513_6071696f,cpu,raw_counts,2.6766034185353615,4.714851403726897,3.2535820311522103,1.8172413793103448,2.519484241759754,1.9940224625887888,0.9716748768472907,1.3109187972152696,1.3843950702027665,0.017241379310344855,-0.2678571428571429,0.29310344827586204,0.6896551724137931,2.0,1.6869747899159664,1.0,True,75.0,74.00000000000001,0.9866666666666668,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_rolling_mean_20091231_20251231_20260513_6071696f/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_rolling_mean_20091231_20251231_20260513_6071696f/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_rolling_mean_20091231_20251231_20260513_6071696f/comparison_metrics.json,results/ward3_naive_rolling_mean_20091231_20251231_20260513_6071696f/test_predictions.csv,results/ward3_naive_rolling_mean_20091231_20251231_20260513_6071696f/residuals.png,False
naive_same_dow_rolling_mean,ward3_naive_same_dow_rolling_mean_20091231_20251231_20260513_04e1c454,cpu,raw_counts,3.030378704720088,5.401744457478539,4.361898133881546,1.8637931034482758,2.701970864336649,2.3748586005880443,0.9806034482758621,1.3439880502855466,1.5175358173817695,-0.04525862068965517,-0.375,0.3275862068965517,0.5862068965517241,2.0,1.5735294117647058,1.0,False,75.0,77.625,1.035,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_same_dow_rolling_mean_20091231_20251231_20260513_04e1c454/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_same_dow_rolling_mean_20091231_20251231_20260513_04e1c454/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_same_dow_rolling_mean_20091231_20251231_20260513_04e1c454/comparison_metrics.json,results/ward3_naive_same_dow_rolling_mean_20091231_20251231_20260513_04e1c454/test_predictions.csv,results/ward3_naive_same_dow_rolling_mean_20091231_20251231_20260513_04e1c454/residuals.png,False
hurdle_xgb,ward3_hurdle_xgb_20091231_20251231_20260513_cf823e2a,cuda,raw_counts,3.5327450010017842,6.607467017860246,13.597441727219566,1.275149840339678,1.8221160269138692,1.1044243400839358,1.03006104356935,1.3310481913879955,1.4240760635360479,-0.09613759780898096,-0.4946694022721374,0.3793103448275862,0.6206896551724138,2.0,1.4879207389368168,0.8823529411764706,False,75.0,80.5759806729209,1.0743464089722787,/data/rpan/course/spring-2026-dc-311/results/ward3_hurdle_xgb_20091231_20251231_20260513_cf823e2a/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_hurdle_xgb_20091231_20251231_20260513_cf823e2a/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_hurdle_xgb_20091231_20251231_20260513_cf823e2a/comparison_metrics.json,results/ward3_hurdle_xgb_20091231_20251231_20260513_cf823e2a/test_predictions.csv,results/ward3_hurdle_xgb_20091231_20251231_20260513_cf823e2a/residuals.png,False
random_forest,ward3_random_forest_20091231_20251231_20260513_5b23fd99,cpu,raw_counts,3.632850072411196,6.86610585647289,11.695268281785461,1.5167808851217102,2.0951330020341414,1.4361066071124764,1.120145289121761,1.4790348187566582,1.5709270563501594,-0.3236433679522145,-0.3843963741865186,0.29310344827586204,0.7068965517241379,2.0,1.1327390257082979,0.8235294117647058,False,75.0,93.77131534122844,1.2502842045497127,/data/rpan/course/spring-2026-dc-311/results/ward3_random_forest_20091231_20251231_20260513_5b23fd99/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_random_forest_20091231_20251231_20260513_5b23fd99/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_random_forest_20091231_20251231_20260513_5b23fd99/comparison_metrics.json,results/ward3_random_forest_20091231_20251231_20260513_5b23fd99/test_predictions.csv,results/ward3_random_forest_20091231_20251231_20260513_5b23fd99/residuals.png,False
naive_last_observed,ward3_naive_last_observed_20091231_20251231_20260513_d470a75f,cpu,raw_counts,2.724259055982437,4.571865318659161,16.47944658811093,2.1379310344827585,3.0126171460983087,10.64183182696283,1.2758620689655173,1.8099342720014773,13.32356295629196,0.0,0.0,0.3275862068965517,0.3620689655172414,2.0,1.3529411764705883,0.6470588235294118,False,75.0,75.0,1.0,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_last_observed_20091231_20251231_20260513_d470a75f/train_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_last_observed_20091231_20251231_20260513_d470a75f/test_metrics.json,/data/rpan/course/spring-2026-dc-311/results/ward3_naive_last_observed_20091231_20251231_20260513_d470a75f/comparison_metrics.json,results/ward3_naive_last_observed_20091231_20251231_20260513_d470a75f/test_predictions.csv,results/ward3_naive_last_observed_20091231_20251231_20260513_d470a75f/residuals.png,False
