model,model_type,label_mode,high_demand_threshold,threshold_source,threshold_rule,d,selected_threshold,threshold_selection_split,threshold_selection_fallback,fixed_alert_rule,fit_source,history_update_rule,test_labels_used_for_training,test_labels_used_for_threshold_selection,val_score_kind,val_selected_threshold,val_pr_auc,val_roc_auc,val_brier_score,val_precision,val_recall,val_f1,val_f2,val_false_alarm_rate,val_specificity,val_balanced_accuracy,val_TP,val_FP,val_TN,val_FN,val_alerts_per_month,val_missed_high_demand_days,val_label_prevalence,val_total_days,val_high_demand_days,val_alert_days,val_correctly_alerted_high_demand_days,val_metric_warnings,test_score_kind,test_selected_threshold,test_pr_auc,test_roc_auc,test_brier_score,test_precision,test_recall,test_f1,test_f2,test_false_alarm_rate,test_specificity,test_balanced_accuracy,test_TP,test_FP,test_TN,test_FN,test_alerts_per_month,test_missed_high_demand_days,test_label_prevalence,test_total_days,test_high_demand_days,test_alert_days,test_correctly_alerted_high_demand_days,test_metric_warnings,validation_predictions_path,test_predictions_path,metrics_path,threshold_candidates_evaluated
count_extra_trees_threshold_alert,naive_alert_baseline,q75,25.0,train,f2,7,25.0,,False,True,part_a_count_predictions,,False,False,count_prediction,25.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,85,0,0.0,0,0.0,85,0,0,0,['ranking metrics undefined because split has one class'],count_prediction,25.0,0.7006044835523593,0.8791641306553053,,0.7377049180327869,0.4838709677419355,0.5844155844155844,0.5196304849884527,0.06037735849056604,0.939622641509434,0.7117468046256847,45,16,249,48,5.186277932960894,48,0.25977653631284914,358,93,61,45,[],results/high_demand_classification_d7_20260513/count_extra_trees_threshold_alert/validation_predictions.csv,results/high_demand_classification_d7_20260513/count_extra_trees_threshold_alert/test_predictions.csv,results/high_demand_classification_d7_20260513/count_extra_trees_threshold_alert/metrics.json,
extra_trees_classifier,ml_classifier,q75,25.0,train,f2,7,0.54,val,False,,,,False,False,probability,0.54,,,0.07305080984415249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,85,0,0.0,0,0.0,85,0,0,0,['ranking metrics undefined because split has one class'],probability,0.54,0.7263601898836889,0.8770947453844593,0.12454790038697248,0.676923076923077,0.4731182795698925,0.5569620253164557,0.5034324942791762,0.07924528301886792,0.9207547169811321,0.6969364982755123,44,21,244,49,5.526361731843576,49,0.25977653631284914,358,93,65,44,[],results/high_demand_classification_d7_20260513/extra_trees_classifier/validation_predictions.csv,results/high_demand_classification_d7_20260513/extra_trees_classifier/test_predictions.csv,results/high_demand_classification_d7_20260513/extra_trees_classifier/metrics.json,186
naive_previous_high_demand,naive_alert_baseline,q75,25.0,train,f2,7,0.5,,False,True,walk_forward_history,append observed target only after its target window would be known,False,False,binary,0.5,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,85,0,0.0,0,0.0,85,0,0,0,[],binary,0.5,,,,0.4946236559139785,0.4946236559139785,0.4946236559139785,0.4946236559139785,0.17735849056603772,0.8226415094339623,0.6586325826739704,46,47,218,47,7.906948324022347,47,0.25977653631284914,358,93,93,46,[],results/high_demand_classification_d7_20260513/naive_previous_high_demand/validation_predictions.csv,results/high_demand_classification_d7_20260513/naive_previous_high_demand/test_predictions.csv,results/high_demand_classification_d7_20260513/naive_previous_high_demand/metrics.json,
random_forest_classifier,ml_classifier,q75,25.0,train,f2,7,0.59,val,False,,,,False,False,probability,0.59,,,0.04109066842848311,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,85,0,0.0,0,0.0,85,0,0,0,['ranking metrics undefined because split has one class'],probability,0.59,0.6974114498243104,0.8631771150334753,0.13181098064114727,0.7454545454545455,0.44086021505376344,0.5540540540540541,0.48009367681498827,0.052830188679245285,0.9471698113207547,0.6940150131872591,41,14,251,52,4.676152234636872,52,0.25977653631284914,358,93,55,41,[],results/high_demand_classification_d7_20260513/random_forest_classifier/validation_predictions.csv,results/high_demand_classification_d7_20260513/random_forest_classifier/test_predictions.csv,results/high_demand_classification_d7_20260513/random_forest_classifier/metrics.json,186
naive_rolling_mean_alert,naive_alert_baseline,q75,25.0,train,f2,7,25.0,,False,True,walk_forward_history,append observed target only after its target window would be known,False,False,count_score,25.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,85,0,0.0,0,0.0,85,0,0,0,['ranking metrics undefined because split has one class'],count_score,25.0,0.4410571805507205,0.7424021099614526,,0.5189873417721519,0.44086021505376344,0.47674418604651164,0.45454545454545453,0.14339622641509434,0.8566037735849057,0.6487319943193346,41,38,227,52,6.716655027932961,52,0.25977653631284914,358,93,79,41,[],results/high_demand_classification_d7_20260513/naive_rolling_mean_alert/validation_predictions.csv,results/high_demand_classification_d7_20260513/naive_rolling_mean_alert/test_predictions.csv,results/high_demand_classification_d7_20260513/naive_rolling_mean_alert/metrics.json,
naive_same_dow_rolling_mean_alert,naive_alert_baseline,q75,25.0,train,f2,7,25.0,,False,True,walk_forward_history,append observed target only after its target window would be known,False,False,count_score,25.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,85,0,0.0,0,0.0,85,0,0,0,['ranking metrics undefined because split has one class'],count_score,25.0,0.4420067999234209,0.7144451207141408,,0.47368421052631576,0.3870967741935484,0.4260355029585799,0.4017857142857143,0.1509433962264151,0.8490566037735849,0.6180766889835667,36,40,225,57,6.46159217877095,57,0.25977653631284914,358,93,76,36,[],results/high_demand_classification_d7_20260513/naive_same_dow_rolling_mean_alert/validation_predictions.csv,results/high_demand_classification_d7_20260513/naive_same_dow_rolling_mean_alert/test_predictions.csv,results/high_demand_classification_d7_20260513/naive_same_dow_rolling_mean_alert/metrics.json,
logistic_l1_classifier,ml_classifier,q75,25.0,train,f2,7,0.45,val,False,,,,False,False,probability,0.45,,,0.035235417359119316,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,85,0,0.0,0,0.0,85,0,0,0,['ranking metrics undefined because split has one class'],probability,0.45,0.7244674961173067,0.8658551430310408,0.1458190316527504,0.7333333333333333,0.3548387096774194,0.4782608695652174,0.39568345323741005,0.045283018867924525,0.9547169811320755,0.6547778454047475,33,12,253,60,3.8259427374301676,60,0.25977653631284914,358,93,45,33,[],results/high_demand_classification_d7_20260513/logistic_l1_classifier/validation_predictions.csv,results/high_demand_classification_d7_20260513/logistic_l1_classifier/test_predictions.csv,results/high_demand_classification_d7_20260513/logistic_l1_classifier/metrics.json,186
count_lgbm_threshold_alert,naive_alert_baseline,q75,25.0,train,f2,7,25.0,,False,True,part_a_count_predictions,,False,False,count_prediction,25.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,85,0,0.0,0,0.0,85,0,0,0,['ranking metrics undefined because split has one class'],count_prediction,25.0,0.6375865610760201,0.8477987421383648,,0.6666666666666666,0.23655913978494625,0.3492063492063492,0.2716049382716049,0.04150943396226415,0.9584905660377359,0.597524852911341,22,11,254,71,2.805691340782123,71,0.25977653631284914,358,93,33,22,[],results/high_demand_classification_d7_20260513/count_lgbm_threshold_alert/validation_predictions.csv,results/high_demand_classification_d7_20260513/count_lgbm_threshold_alert/test_predictions.csv,results/high_demand_classification_d7_20260513/count_lgbm_threshold_alert/metrics.json,
lgbm_classifier,ml_classifier,q75,25.0,train,f2,7,0.65,val,False,,,,False,False,probability,0.65,,,0.019099732995321136,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,85,0,0.0,0,0.0,85,0,0,0,['ranking metrics undefined because split has one class'],probability,0.65,0.6259018974229329,0.8484885372286468,0.1742438716677185,0.7,0.22580645161290322,0.34146341463414637,0.26119402985074625,0.033962264150943396,0.9660377358490566,0.5959220937309799,21,9,256,72,2.550628491620112,72,0.25977653631284914,358,93,30,21,[],results/high_demand_classification_d7_20260513/lgbm_classifier/validation_predictions.csv,results/high_demand_classification_d7_20260513/lgbm_classifier/test_predictions.csv,results/high_demand_classification_d7_20260513/lgbm_classifier/metrics.json,186
xgb_classifier,ml_classifier,q75,25.0,train,f2,7,0.67,val,False,,,,False,False,probability,0.67,,,0.034552478453323224,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,85,0,0.0,0,0.0,85,0,0,0,['ranking metrics undefined because split has one class'],probability,0.67,0.6529451301671175,0.8580645161290323,0.161529465587857,0.7692307692307693,0.21505376344086022,0.33613445378151263,0.25125628140703515,0.022641509433962263,0.9773584905660377,0.596206127003449,20,6,259,73,2.21054469273743,73,0.25977653631284914,358,93,26,20,[],results/high_demand_classification_d7_20260513/xgb_classifier/validation_predictions.csv,results/high_demand_classification_d7_20260513/xgb_classifier/test_predictions.csv,results/high_demand_classification_d7_20260513/xgb_classifier/metrics.json,186
