latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.928734,-77.08716,110.0,-18000,America/New_York,GMT-5

time,precipitation_sum (mm),precipitation_hours (h),rain_sum (mm),showers_sum (mm),snowfall_sum (cm),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%)
2022-01-01,5.10,6.0,5.10,0.00,0.00,16.4,11.7,100,94,96
2022-01-02,1.20,3.0,1.20,0.00,0.00,16.7,7.1,99,63,85
2022-01-03,21.90,11.0,7.40,0.00,10.15,5.7,-5.8,97,68,85
2022-01-04,0.00,0.0,0.00,0.00,0.00,0.4,-7.7,95,70,77
2022-01-05,0.00,0.0,0.00,0.00,0.00,3.2,-3.6,91,73,83
2022-01-06,0.00,0.0,0.00,0.00,0.00,4.9,0.7,76,42,54
2022-01-07,5.10,5.0,1.40,0.00,2.59,0.3,-5.0,96,46,65
2022-01-08,0.00,0.0,0.00,0.00,0.00,-0.4,-7.2,70,38,57
2022-01-09,3.30,5.0,3.30,0.00,0.00,6.1,-1.5,96,60,78
2022-01-10,0.00,0.0,0.00,0.00,0.00,4.6,-2.5,70,36,47
2022-01-11,0.00,0.0,0.00,0.00,0.00,-2.6,-6.7,59,38,47
2022-01-12,0.00,0.0,0.00,0.00,0.00,7.0,-6.4,66,38,51
2022-01-13,0.00,0.0,0.00,0.00,0.00,8.9,-1.8,76,44,58
2022-01-14,0.00,0.0,0.00,0.00,0.00,7.2,0.3,81,55,67
2022-01-15,0.00,0.0,0.00,0.00,0.00,-0.5,-8.3,62,37,46
2022-01-16,21.20,9.0,17.40,0.00,2.66,2.4,-10.1,95,53,72
2022-01-17,0.00,0.0,0.00,0.00,0.00,4.2,-0.0,92,47,69
2022-01-18,0.00,0.0,0.00,0.00,0.00,3.2,-3.7,79,47,58
2022-01-19,0.00,0.0,0.00,0.00,0.00,12.1,-4.2,76,33,54
2022-01-20,7.20,6.0,6.90,0.00,0.21,6.7,-2.6,97,49,76
2022-01-21,0.00,0.0,0.00,0.00,0.00,-3.0,-9.1,63,50,55
2022-01-22,0.00,0.0,0.00,0.00,0.00,-0.8,-10.1,67,25,46
2022-01-23,0.00,0.0,0.00,0.00,0.00,3.5,-6.6,64,28,49
2022-01-24,0.00,0.0,0.00,0.00,0.00,3.9,-1.6,74,47,63
2022-01-25,0.00,0.0,0.00,0.00,0.00,8.1,-2.0,73,47,58
2022-01-26,0.00,0.0,0.00,0.00,0.00,-0.2,-6.2,59,37,47
2022-01-27,0.00,0.0,0.00,0.00,0.00,1.2,-9.5,74,42,56
2022-01-28,2.00,5.0,0.60,0.00,0.98,3.2,-1.1,98,46,72
2022-01-29,0.40,1.0,0.10,0.00,0.21,-1.2,-7.1,91,33,59
2022-01-30,0.00,0.0,0.00,0.00,0.00,-1.1,-10.0,62,40,49
2022-01-31,0.00,0.0,0.00,0.00,0.00,1.8,-6.6,74,49,61
2022-02-01,0.00,0.0,0.00,0.00,0.00,4.8,-6.8,82,56,71
2022-02-02,0.00,0.0,0.00,0.00,0.00,8.5,-3.1,98,57,81
